frac,exp_name,acc
0.01,rf,0.8427
0.01,xgb,0.8678
0.01,dnn,0.8882
0.01,cnn,0.9001
0.02,rf,0.88
0.02,xgb,0.8945
0.02,dnn,0.8955
0.02,cnn,0.928
0.03,rf,0.8946
0.03,xgb,0.9176
0.03,dnn,0.9164
0.03,cnn,0.9501
0.04,rf,0.8996
0.04,xgb,0.922
0.04,dnn,0.9355
0.04,cnn,0.9584
0.05,rf,0.9169
0.05,xgb,0.9347
0.05,dnn,0.9336
0.05,cnn,0.9611
0.06,rf,0.9158
0.06,xgb,0.9379
0.06,dnn,0.941
0.06,cnn,0.9675
0.07,rf,0.9175
0.07,xgb,0.9394
0.07,dnn,0.9429
0.07,cnn,0.9649
0.08,rf,0.9236
0.08,xgb,0.9432
0.08,dnn,0.9409
0.08,cnn,0.971
0.09,rf,0.9235
0.09,xgb,0.9462
0.09,dnn,0.9464
0.09,cnn,0.973
0.1,rf,0.9253
0.1,xgb,0.9482
0.1,dnn,0.9507
0.1,cnn,0.9761
0.2,rf,0.943
0.2,xgb,0.9623
0.2,dnn,0.9678
0.2,cnn,0.9827
0.3,rf,0.9474
0.3,xgb,0.9683
0.3,dnn,0.9696
0.3,cnn,0.9867
0.4,rf,0.9542
0.4,xgb,0.9721
0.4,dnn,0.9753
0.4,cnn,0.9877
0.5,rf,0.9557
0.5,xgb,0.9735
0.5,dnn,0.9771
0.5,cnn,0.9877
0.6,rf,0.958
0.6,xgb,0.9735
0.6,dnn,0.9775
0.6,cnn,0.9885
0.7,rf,0.9602
0.7,xgb,0.9768
0.7,dnn,0.9794
0.7,cnn,0.9892
0.8,rf,0.9585
0.8,xgb,0.9765
0.8,dnn,0.9793
0.8,cnn,0.9895
0.9,rf,0.9661
0.9,xgb,0.9768
0.9,dnn,0.9808
0.9,cnn,0.988
0.91,rf,0.9631
0.91,xgb,0.976
0.91,dnn,0.9806
0.91,cnn,0.9905
0.92,rf,0.9617
0.92,xgb,0.977
0.92,dnn,0.9801
0.92,cnn,0.9896
0.93,rf,0.9628
0.93,xgb,0.978
0.93,dnn,0.9804
0.93,cnn,0.9904
0.94,rf,0.9624
0.94,xgb,0.9778
0.94,dnn,0.9799
0.94,cnn,0.992
0.95,rf,0.963
0.95,xgb,0.9775
0.95,dnn,0.9799
0.95,cnn,0.9902
0.96,rf,0.9612
0.96,xgb,0.979
0.96,dnn,0.9811
0.96,cnn,0.9903
0.97,rf,0.9601
0.97,xgb,0.9773
0.97,dnn,0.9806
0.97,cnn,0.9912
0.98,rf,0.9623
0.98,xgb,0.977
0.98,dnn,0.9806
0.98,cnn,0.9909
0.99,rf,0.9629
0.99,xgb,0.979
0.99,dnn,0.9817
0.99,cnn,0.9913
1,rf,0.9629
1,xgb,0.9779
1,dnn,0.9796
1,cnn,0.9905
